,Network,avg_invasion_time_beta0.1,avg_invasion_time_beta0.05,avg_prop_infected_beta0.1,avg_prop_infected_beta0.05,no_invasion_beta0.1,no_invasion_beta0.05,Fiedler,Adj_val,Rnot,network_size,most_infected_node,Modularity,Mean_degree,Centrality,transitivity.gcc_s..type....global..,Diameter
481,mammalia_voles_bhp_trapping_05,2.666666667,5.425287356,0.098809524,0.275862069,76,13,0.053866879,3.558493957,0.28101776,35,20,0.6598,0.084033613,3.558493957,0.390243902,9
482,mammalia_voles_bhp_trapping_06,4.058823529,7.474226804,0.10654828,0.297412955,83,3,0.039060489,5.052504092,0.197921661,53,23,0.677577855,0.061683599,5.052504092,0.428571429,11
483,mammalia_voles_bhp_trapping_07,2.954545455,7.123287671,0.181818182,0.367123288,78,27,0.104915268,3.561834406,0.280754209,15,15,0.488662132,0.2,3.561834406,0.4375,7
484,mammalia_voles_bhp_trapping_08,2.857142857,9.111111111,0.285714286,0.46875,93,64,0.300371852,2.46050487,0.406420655,8,1,0.2890625,0.285714286,2.46050487,0.272727273,5
485,mammalia_voles_bhp_trapping_09,2.833333333,7.145454545,0.25,0.414545455,94,45,0.202175651,3.113140562,0.321219033,10,5,0.434027778,0.266666667,3.113140562,0.571428571,5
486,mammalia_voles_bhp_trapping_10,3.65,7.283783784,0.1475,0.360135135,80,26,0.080979711,3.559344401,0.280950615,20,14,0.530864198,0.142105263,3.559344401,0.333333333,8
487,mammalia_voles_bhp_trapping_11,2.735294118,3.948979592,0.107843137,0.342403628,66,2,0.067130393,4.358307896,0.229446846,36,21,0.680828402,0.103174603,4.358307896,0.512195122,9
488,mammalia_voles_bhp_trapping_12,3.260869565,5.818181818,0.111204013,0.31973582,77,1,0.041177941,4.98703978,0.200519756,52,34,0.666829427,0.07239819,4.98703978,0.497191011,11
489,mammalia_voles_bhp_trapping_13,2.964285714,5.101010101,0.118181818,0.357575758,72,1,0.025442538,5.720350931,0.17481445,55,2,0.692435679,0.074747475,5.720350931,0.535469108,12
490,mammalia_voles_bhp_trapping_14,2.846153846,4.860465116,0.101010101,0.366807611,61,14,0.067715057,4.871214124,0.205287629,33,14,0.614545455,0.104166667,4.871214124,0.446153846,9
491,mammalia_voles_bhp_trapping_15,3,7.571428571,0.253846154,0.473214286,87,44,0.333048558,3.124417376,0.320059672,10,6,0.319526627,0.288888889,3.124417376,0.428571429,5
492,mammalia_voles_bhp_trapping_16,3.85,6.044444444,0.124137931,0.290804598,80,10,0.041634615,3.653567319,0.273705098,29,1,0.617028271,0.096059113,3.653567319,0.387096774,11
493,mammalia_voles_bhp_trapping_17,2.913043478,6.727272727,0.184143223,0.378787879,77,34,0.213013919,3.283159572,0.304584647,17,10,0.480371901,0.161764706,3.283159572,0.3125,6
494,mammalia_voles_bhp_trapping_18,3.277777778,6.708333333,0.137426901,0.328216374,82,28,0.098006169,3.32952331,0.300343294,19,12,0.54,0.14619883,3.32952331,0.381818182,7
495,mammalia_voles_bhp_trapping_19,2.4,10.14285714,0.285714286,0.530612245,95,65,0.340320958,2.476346575,0.403820697,7,7,0.3671875,0.380952381,2.476346575,0.5,4
496,mammalia_voles_bhp_trapping_20,2.375,6.310344828,0.139322917,0.370689655,68,13,0.102377041,4.141288341,0.24147075,24,8,0.5934375,0.144927536,4.141288341,0.475,6
497,mammalia_voles_bhp_trapping_21,3.085714286,4.363636364,0.106493506,0.322543618,65,1,0.031140075,6.11837905,0.163441982,44,5,0.659140625,0.084566596,6.11837905,0.563758389,11
498,mammalia_voles_bhp_trapping_22,3.586206897,3.68,0.093596059,0.350380952,71,0,0.007171106,6.042317269,0.165499419,105,12,0.772674858,0.042124542,6.042317269,0.555776892,26
499,mammalia_voles_bhp_trapping_23,3.225806452,5,0.121924549,0.355586302,69,2,0.027215909,5.965363031,0.167634391,59,49,0.715416667,0.070134424,5.965363031,0.551020408,14
500,mammalia_voles_bhp_trapping_24,3.551724138,3.3,0.090298071,0.36440678,71,0,0.009437979,7.344543866,0.136155494,118,94,0.775612132,0.040996668,7.344543866,0.603025937,23
501,mammalia_voles_bhp_trapping_25,3.239130435,4.010309278,0.121281465,0.394736842,54,3,0.073092353,6.458839258,0.154826581,38,17,0.584331253,0.109530583,6.458839258,0.568047337,9
502,mammalia_voles_bhp_trapping_26,3.46875,5.581395349,0.12109375,0.425387597,68,14,0.242919985,4.45384089,0.224525309,24,20,0.534613304,0.155797101,4.45384089,0.452054795,5
503,mammalia_voles_bhp_trapping_27,3.911764706,5.694736842,0.109322974,0.347368421,66,5,0.057450653,5.30617277,0.188459751,53,6,0.693061224,0.076197388,5.30617277,0.512195122,8
504,mammalia_voles_bhp_trapping_28,3.296296296,5.427083333,0.126200274,0.333719136,73,4,0.064332639,4.775514826,0.209401507,27,10,0.608931947,0.131054131,4.775514826,0.591549296,9
505,mammalia_voles_bhp_trapping_29,3.421052632,6.328358209,0.267942584,0.500678426,81,33,0.489062992,3.778457118,0.26465829,11,1,0.330449827,0.309090909,3.778457118,0.510638298,4
506,mammalia_voles_bhp_trapping_30,2.470588235,6.089552239,0.214285714,0.386993603,83,33,0.13274724,3.008548473,0.332386202,14,9,0.526234568,0.197802198,3.008548473,0.416666667,7
507,mammalia_voles_bhp_trapping_31,3,5.071428571,0.118333333,0.285238095,76,16,0.037474382,3.833019694,0.260890911,25,22,0.59825528,0.11,3.833019694,0.4,13
508,mammalia_voles_bhp_trapping_32,2.5,7.036363636,0.354166667,0.572727273,88,45,0.707598415,3.394425238,0.294600685,8,3,0.343195266,0.464285714,3.394425238,0.580645161,3
509,mammalia_voles_bhp_trapping_33,5,6,1,1,99,90,2,1,1,2,2,0,1,1,NA,1
510,mammalia_voles_bhp_trapping_34,2.545454545,8.595238095,0.318181818,0.556547619,89,58,0.627718677,3.390598579,0.294933174,8,2,0.210743802,0.392857143,3.390598579,0.535714286,3
511,mammalia_voles_bhp_trapping_35,2.916666667,6.771929825,0.314814815,0.528265107,88,43,0.458618735,3.335947023,0.299764952,9,2,0.319444444,0.333333333,3.335947023,0.5,3
512,mammalia_voles_bhp_trapping_36,3.16,6.6,0.153333333,0.399206349,75,30,0.176703184,4.110220352,0.243295958,18,2,0.483353151,0.189542484,4.110220352,0.558139535,7
513,mammalia_voles_bhp_trapping_37,2.375,8.459459459,0.357142857,0.586872587,92,63,0.422110508,2.807210247,0.356225545,7,2,0.1796875,0.380952381,2.807210247,0.4,4
514,mammalia_voles_bhp_trapping_38,3,10.66666667,1,1,99,88,2,1,1,2,2,0,1,1,NA,1
515,mammalia_voles_bhp_trapping_39,3.333333333,6.3,0.5,0.775,97,80,4,3,0.333333333,4,3,0,1,3,1,1
516,mammalia_voles_bhp_trapping_40,2,17.84615385,1,1,99,87,2,1,1,2,2,0,1,1,NA,1
517,mammalia_voles_bhp_trapping_41,4,9.8,1,1,99,95,2,1,1,2,2,0,1,1,NA,1
518,mammalia_voles_bhp_trapping_42,2,10.55555556,0.666666667,0.814814815,97,82,1,1.414213562,0.707106781,3,1,0,0.666666667,1.414213562,0,2
519,mammalia_voles_bhp_trapping_44,4.142857143,7.066666667,0.514285714,0.706666667,93,85,0.697224362,2.302775638,0.434258546,5,1,0.08,0.5,2.302775638,0.428571429,3
520,mammalia_voles_bhp_trapping_45,2.583333333,5.053571429,0.348484848,0.649350649,76,44,0.335920113,7.018868481,0.142473107,11,8,0.116024974,0.563636364,7.018868481,0.943820225,3
521,mammalia_voles_bhp_trapping_46,3.5,4.907216495,0.1,0.34702617,72,3,0.052406172,5.712423372,0.175057053,65,4,0.659790039,0.061538462,5.712423372,0.46875,11
522,mammalia_voles_bhp_trapping_47,3.545454545,5.734693878,0.117715618,0.345957614,67,2,0.061536486,5.684668031,0.175911767,52,15,0.654255319,0.070889894,5.684668031,0.455284553,8
523,mammalia_voles_bhp_trapping_48,4.634146341,3.31,0.099546228,0.383488372,59,0,0.023226047,6.867561311,0.145612096,86,67,0.699839995,0.049794802,6.867561311,0.466811752,11
524,mammalia_voles_bhp_trapping_49,3.304347826,3.8,0.111166008,0.335645933,54,5,0.049957611,6.537165664,0.152971494,44,30,0.65048223,0.091966173,6.537165664,0.582857143,9
525,mammalia_voles_bhp_trapping_50,2.95,4.988372093,0.119230769,0.296958855,80,14,0.051211285,3.515934396,0.284419414,26,23,0.604552469,0.110769231,3.515934396,0.37037037,11
526,mammalia_voles_bhp_trapping_51,2.75,7.017857143,0.198717949,0.384615385,88,44,0.128049347,3.199578091,0.312541207,13,9,0.479938272,0.230769231,3.199578091,0.405405405,7
527,mammalia_voles_bhp_trapping_52,2.916666667,6.238095238,0.302083333,0.547619048,88,58,0.296682402,2.690743736,0.371644459,8,3,0.355,0.357142857,2.690743736,0.529411765,4
528,mammalia_voles_bhp_trapping_53,4,8.931818182,0.303571429,0.538961039,92,56,0.467911114,2.685543933,0.372364044,7,5,0.21875,0.380952381,2.685543933,0.428571429,4
529,mammalia_voles_bhp_trapping_54,3.428571429,6.20754717,0.285714286,0.477987421,93,47,0.339601707,2.841937892,0.351872574,9,9,0.305,0.277777778,2.841937892,0.3,4
